SourceID,Classification,RA,Dec,Referenced
4000743989797,merger,249.2597434,41.00104210000001,False
4001015639759,merger,146.08566090000002,-1.7781576,False
4001112223647,merger,150.6524726,1.9408938,True
4001253344898,merger,7.1740042,31.1508504,False
4001231594704,odd,334.4768579,0.1937687,False
4001031484368,merger,28.1692458,-14.1053582,False
6000354150289,merger,149.945612,2.5041725,True
6000536195674,lens,197.8699712,-1.362001,True
4182715039,overlap,262.923966,22.8743331,False
4001256743468,odd,195.0946735,27.8207704,True
6000432779912,lens,214.7868839,52.733468,False
4001293579163,edge-on protoplanetary disk,64.922869,27.2686509,True
4000783399303,merger,149.853812,2.1798334,True
4000891611141,merger,149.75858390000002,2.7660828,True
4000952779294,merger,208.4916278,60.02862420000001,False
4000791382153,merger,56.0600456,-44.5981882,False
4000854167611,merger,259.49067180000003,60.0949055,False
4001261006328,merger,82.8965844,-28.0321973,False
4001126899861,lens,261.4685977,56.3460131,False
4000815078204,merger,149.2027796,28.823823600000004,False
4001005351177,merger,138.98941200000002,29.8629849,False
4000854801653,overlap,164.7795086,-12.8880763,True
4000814265840,merger,186.7123679,13.3337095,False
4001294382481,merger,53.1699122,-27.8236703,True
6000245224562,high-z,53.0445352,-27.7872264,True
4001028381200,jellyfish,181.5471597,-8.7950191,True
4001176011961,merger,134.2282169,51.5175013,False
6000408993127,lens,90.0454708,-20.1270119,False
4000986410577,merger,313.0862177,-69.2471505,False
4000823049363,odd,334.438902,0.3279364999999999,True
4001247947051,merger,259.7947523,60.3530453,False
4001323103481,high-z,216.6812848,35.3213977,False
4000812861177,merger,199.79151,-2.091797,False
4000859573320,overlap,9.2429565,9.1726975,False
6000221128934,unknown,90.8284462,42.2546243,False
6000508613556,merger,150.6232343,2.4928053,True
4510035373,merger,209.9799362,62.552797700000006,True
4001265464094,odd,133.1830681,3.1405264,False
4001227961238,overlap,264.9265545,69.0325475,False
4001000414849,high-z,313.0954706,-69.1950635,False
6000405664908,merger,59.7359087,-29.9223938,True
4001275969516,lens,70.9047352,-50.2913307,False
4001024091336,merger,29.0434148,-55.698237600000006,True
6000532112741,merger,342.2112516,-44.5133746,True
4182685490,arc,145.2214869,7.7389391,True
4001303237800,merger,216.1775142,35.0392801,False
4001284549812,odd,24.5921465,33.1589585,False
4001134860783,odd,203.196671,50.5436796,False
4000944019088,odd,334.3744669,0.3929767,True
4000906958677,merger,186.7567605,23.8826451,False
4000731071929,merger,150.3309456,1.8796405,True
6000436569102,jellyfish,316.5195868,-58.7413003,True
4001102811732,agn,170.1126446,-12.067368,False
4001300051595,arc,181.5451738,-8.8025291,True
4001261324915,arc,38.0723354,-44.3558476,False
4522403588,jellyfish,39.9899829,-1.5696988,True
4000956625989,merger,259.5459305,60.0738568,False
4000708131176,merger,342.3251098,-44.5357467,False
4001253229292,merger,58.2279277,-47.4874543,False
4001009541584,merger,258.305591,58.991446100000005,False
4001284550430,odd,24.5550773,33.1831144,False
4000764048933,merger,125.3781393,37.5392541,False
4000987080434,high-z,210.4942018,4.9972602,False
4001399990530,lens,3.5935994,-30.3821788,True
4000897740490,merger,150.4302947,2.0868084,True
6000368964870,overlap,39.9650095,-1.5711104,True
4552376307,supernova,189.3556916,62.168359200000005,True
6000451492327,merger,228.9340063,17.983716,False
4208129489,merger,247.13884680000004,39.538406,False
6000438400937,merger,186.7338378,23.8159957,False
4174424874,merger,259.34442590000003,59.8401776,False
4001098496907,lens,341.3587061,28.1571857,True
4000708111008,merger,150.1317148,2.3397514,True
6000361236591,merger,316.4860704,-58.7343448,False
4000889908107,merger,355.2979208,0.003165,False
4001233236939,merger,203.7974708,-30.1057423,False
4001363354455,odd,6.7201284,17.042479,True
4000722901710,merger,28.241874900000003,-13.9135333,False
4001421499330,merger,356.5727479,12.774015,False
4001294367488,lens,34.4050546,-5.2251278,True
4001265458580,odd,162.3392093,51.0727975,False
4001089784768,merger,214.3076048,52.5291657,True
4000742617813,odd,150.1730787,2.1270053,True
4000738622849,merger,150.0290169,2.0352689,True
4000812652711,merger,159.4728816,-12.7336644,True
4001238820281,merger,190.6562864,32.5293796,False
4001063171631,arc,214.7867357,52.7336685,True
4001232527145,high-z,109.3578788,37.6986206,False
4001083131066,lens,73.5387499,2.9640686,False
4001262814811,merger,132.795149,63.1354974,False
4000743731994,jet,334.4029229,0.8363436,False
4001399670656,merger,199.0755145,42.0979034,False
4001259594057,merger,48.2606402,8.3890396,False
4001051780396,merger,79.7842067,-42.8035525,False
4001070760180,unknown,109.4935837,37.7081907,False
4001244798111,arc,181.5445391,-8.7992311,True
4001437615307,merger,205.9289983,-38.1819897,False
4174018014,lens,73.6280364,-3.0260777,False
4000982299964,arc,139.46163169999997,51.7084544,False
4001131319639,merger,79.9418939,-44.0645691,False
4001081908256,merger,150.5849962,2.7562069,True
6000324540907,clumpy,53.1077157,-27.8388322,True
4000806638225,merger,210.2732075,2.8841979,False
4000995450106,lens,32.42265,-4.6603298,True
6000443417892,lens,255.1486458,64.2752717,True
4001018092291,odd,316.5396509,-58.7354415,False
4001164172876,merger,214.4363058,52.7801725,False
4001278408084,merger,329.4974678,-15.0589057,False
4000888304772,ring,53.200070200000006,-27.7089289,True
4000780441648,odd,163.6782881,-12.8044174,True
4000759800063,lens,13.353691199999998,39.817869,False
4000877020955,odd,116.2130255,39.4407908,True
